latitude,longitude,hashtag,timestamp
-6.1282573,106.831834488,"prints, love, igart, december, illustration, design, artwork, floral, home, decor, flower, yay, winter, patterns, watercolour, drawing, igflowers, workshop, brushwork, handpainted, illustrator, nofilter, christmas, red",1417758526
31.974944468,35.905207608,"motivation, fitnessmodel, selfie, insfafit, gym, buenosdias, igers, healthy, tallguys, fitnessgear, sport, primark, building, gymtime, toomanyhashtags, sandjfitness, fit, pushpillgrind, swole, grindout, instafitness, gymlife, fitness, bigbench, workout",1417643097
18.9153125,-98.429071667,"ohsi, selfie",1417759053
55.983052692,37.162807186,"пятница, инстадневник, zelenograd, selfie, доброеутро, oksana",1417759055
38.191305287,-85.623747669,"real, cute, love, tags, lfl, selfie, f4f, sfs, recent4recent, tumblr, likebackteam, likes, follow4follow, follow, girl, kik, spam4spam, spamforspam, shoutouts, spam, followforfollow, boy, shoutout, tagsforlikes, amazing, abs, likeforlike, s4s, like4like, followme",1417759058
19.549863333,-96.930603333,"selfie, friends, selca",1417759027
44.412195566,-79.670341264,"l4l, fashion, love, fitspo, feelslikesummer, joefresh, selfiemachine, outfit, college, aldoshoes, ootd, smile, girl, instagood, fitfam, me, style, like4like, leather, likeback, forever21, camo, likeforlike, happy, selfie, nixon",1411652767
40.986161221,-75.191010088,"cute, love, snowy, selfienation, selfie, youcanparkinmyspotbecauseimatwork, goprophotography, follow, girl, vsco, celfie, christmas, winter, selfportrait, wintertime, girls, snow, goprouniverse, gopro, pretty, smile, vscocam, adorable, picoftheday, photooftheday",1417214291
37.479624,-122.4423535,"vodka, love, rum, абсент, selfie, война, bara, psilocybe, opium, food, creozole, earth, znah, cocaine, datura, me, absent, usarmy, москва, alcohol, usa, cannabis, universe, metamphetamine, россия, cognac, mdma, gin, newyork, war",1417759062
31.711406775,-110.070671067,"goddess, nofilter, desertlife",1417759063
44.411355316,-79.675142764,"fashion, love, fitspo, selfie, selfiemachine, sogood, ootd, girl, latte, fitfam, me, style, like4like, likeback, outfit, instagood, likeforlike, smile, l4l, happy",1411947337
22.336229325,114.182714539,"boy, myself, end, hongkong, selfie, igmood, lol, hk, hkig, smile, girl",1417758163
29.51344815,-98.63777112,"oddart, blue, art, acrylicpainting, color, tagyourself, selfie, strangerdanger, youdontknowme, paint, knowartist, knotart, fingerbang, messy, weird, painting",1381734728
40.952975,29.168525,"draw, charcoal, karakalem, art, portre, selfie, sketch, drawings, portrait, instagood, instamood, me, paintings, istanbul, paint, followforfollow, resim, followme, teknik, güzelsanatlar, finearts, güzel, oilpaint, drawing",1417759067
-24.54471,25.9741,"bigeyes, selfie, fb, fbf, adorbs, baby, instadaily, ilooklikeakid, flashbackfriday, 2k13, tflers, tag4likes, lips, instacute, forehead, smalllips, nose, pretty, weird, like4like, igers",1417759067
-6.19602814,106.82185233,"ladies, jafraindonesia, selfie, fotorus, skincare, world, love, kulit, women, hijab, justme, jafrabandung, healty, universe, wanita, kosmetik, skin, smile, superstars, happy",1417759068
-37.81058596,145.189999966,"poutitout, selfie, friday, weekend, aviaryhotel",1417759068
-22.8953994,-43.1149608,"comment, beautiful, likesforlikes, comment4comment, love, likers, selfie, trocolikes, likeforfollow, sfs, recent4recent, tumblr, likes, follow4follow, follow, followback, vsco, recent, r4r, like4like, spamforspam, commentforcomment, spam, followforfollow, tagsforlikes, likeforlike, f4f, vscocam",1417641188
-33.470462943,-70.658533964,"gay20, homosexual, lgbtpride, gay19, gay18, getoverit, bisexual, selfie, santiago, toogoodtobestraight, straightsoverrated, homo, gaypride, chile, queer, rainbowpride, boyswholikeboys, loveknowsnogender, gaystgo, boyswhokissboys, wonderland, loveislove, gaychileno, gay, gaychile, likethisshit, gay17, takemetowonderland, lesbian, followme",1417759036
-6.125956623,106.827552867,"beautiful, cute, picstitch, fashion, love, summer, food, tbt, igers, jj, follow, girl, instamood, instagramhub, me, happy, webstagram, tflers, instadaily, sun, iphoneonly, sky, iphonesia, instagood, tagsforlikes, bestoftheday, nofilter, tweegram, picoftheday, photooftheday",1417759072
37.522934533,127.047033525,"weddingdress, 스드메, 라비첸토, sneakpeek, 웨딩드레스, 더라빌, 청담, 로브드k, marriage, wedding, 예비신부, bridetobe, nofilter, 드레스셀렉, instasize",1417758974
39.637143,-104.754552,"makebabiesnotrabies, nofilter, colorado, sunrise, workflow",1417759065
-33.516240169,-70.679006554,"instalike, instachile, selfie",1417759073
-33.897594087,151.269963366,"surf, vodka, selfie, vegan, weather, cleaneating, follow, blonde, bondi, bonditobronte, iggers, ocean, palmtree, hashtaggingeverythingunderthesun, bikini, sorrynotsorry, sydney, fitness, snap, wehashtagharderthanyouparty",1417759004
44.411350591,-79.675078634,"l4l, fashion, love, fitspo, quote, selfie, selfiemachine, outfit, ootd, girl, fitfam, me, style, like4like, likeback, instagood, likeforlike, smile, joanrivers, happy",1412287327
37.292928333,-121.761916667,"stoner, dm, adults, hitmeup, hmu, selfie, men, snapchat, kik, dirtyrp, single, adult, mirror, weshouldsmoke, kikme, rp, seduce, snapme, sexyy, snapchatme, dirtysnaps, letssmoke, followforfollow, hotguys, dirty, f4f, snap, guy, seductive, followme",1417759074
37.513167491,127.054618821,"셀스타그램, selfie, 셀카, instasize",1417759076
